"Date","Price","Open","High","Low","Vol.","Change %"
"May 04, 2014","315.2","316.1","318.5","311.2","0.19K","-0.29%"
"May 05, 2014","311.7","315.2","319.7","308.9","0.76K","-1.09%"
"May 06, 2014","310.4","311.7","315.1","305.0","0.90K","-0.43%"
"May 07, 2014","318.3","310.4","324.8","309.0","1.21K","2.53%"
"May 08, 2014","319.2","318.3","323.4","314.8","0.78K","0.30%"
"May 09, 2014","327.3","319.2","332.0","317.2","1.11K","2.53%"
"May 10, 2014","329.0","327.3","330.9","325.9","0.33K","0.51%"
"May 11, 2014","319.1","329.0","330.5","314.4","0.69K","-3.01%"
"May 12, 2014","320.3","319.1","323.2","315.1","0.63K","0.40%"
"May 13, 2014","320.0","320.3","321.7","315.6","0.69K","-0.11%"
"May 14, 2014","324.7","320.0","326.5","318.9","0.81K","1.47%"
"May 15, 2014","327.5","324.7","330.2","322.3","0.68K","0.88%"
"May 16, 2014","327.8","327.5","329.6","325.4","0.44K","0.08%"
"May 17, 2014","329.2","327.8","329.5","325.7","0.17K","0.42%"
"May 18, 2014","325.3","329.2","328.5","323.2","0.19K","-1.18%"
"May 19, 2014","325.8","325.3","328.5","323.1","0.44K","0.15%"
"May 20, 2014","354.1","325.8","363.3","324.9","2.02K","8.69%"
"May 21, 2014","359.0","354.1","363.1","351.8","0.82K","1.37%"
"May 22, 2014","381.0","359.0","387.2","355.9","2.09K","6.15%"
"May 23, 2014","382.7","381.0","402.6","375.4","1.99K","0.44%"
"May 24, 2014","385.7","382.7","389.1","379.6","0.51K","0.78%"
"May 25, 2014","419.0","385.7","427.8","385.2","2.04K","8.63%"
"May 26, 2014","426.0","419.0","430.8","413.6","1.20K","1.69%"
"May 27, 2014","421.2","426.0","434.7","400.5","2.42K","-1.14%"
"May 28, 2014","422.3","421.2","425.9","415.2","1.10K","0.26%"
"May 29, 2014","417.8","422.3","425.8","413.0","0.83K","-1.07%"
"May 30, 2014","451.4","417.8","455.9","416.5","1.81K","8.04%"
"May 31, 2014","456.7","451.4","456.8","444.1","0.53K","1.19%"
"Jun 01, 2014","464.3","456.7","491.0","445.4","1.85K","1.65%"
"Jun 02, 2014","481.2","464.3","488.3","451.1","1.67K","3.65%"
"Jun 03, 2014","492.0","481.2","494.6","476.1","1.55K","2.24%"
"Jun 04, 2014","476.1","492.0","493.3","460.6","1.69K","-3.22%"
"Jun 05, 2014","487.3","476.1","490.6","470.3","1.25K","2.35%"
"Jun 06, 2014","480.7","487.3","487.6","475.2","0.91K","-1.36%"
"Jun 07, 2014","480.8","480.7","482.0","470.9","0.56K","0.01%"
"Jun 08, 2014","480.6","480.8","483.5","479.4","0.21K","-0.03%"
"Jun 09, 2014","475.2","480.6","482.1","471.4","0.70K","-1.13%"
"Jun 10, 2014","477.9","475.2","482.2","473.0","0.84K","0.57%"
"Jun 11, 2014","463.1","477.9","480.7","459.1","1.45K","-3.09%"
"Jun 12, 2014","421.0","463.1","467.7","405.0","3.20K","-9.11%"
"Jun 13, 2014","436.0","421.0","454.2","419.3","2.72K","3.57%"
"Jun 14, 2014","419.6","436.0","439.2","398.3","2.10K","-3.76%"
"Jun 15, 2014","432.5","419.6","437.3","407.2","1.49K","3.07%"
"Jun 16, 2014","439.4","432.5","452.0","429.6","1.82K","1.60%"
"Jun 17, 2014","446.3","439.4","449.8","430.5","1.39K","1.57%"
"Jun 18, 2014","446.5","446.3","455.5","444.7","0.99K","0.04%"
"Jun 19, 2014","438.5","446.5","447.8","436.3","0.72K","-1.78%"
"Jun 20, 2014","437.2","438.5","440.8","422.2","1.07K","-0.31%"
"Jun 21, 2014","438.0","437.2","438.3","429.7","0.40K","0.19%"
"Jun 22, 2014","448.1","438.0","452.2","427.1","0.68K","2.31%"
"Jun 23, 2014","431.9","448.1","442.3","429.4","0.85K","-3.61%"
"Jun 24, 2014","426.6","431.9","433.7","416.5","0.81K","-1.25%"
"Jun 25, 2014","412.5","426.6","426.5","409.3","1.42K","-3.31%"
"Jun 26, 2014","425.7","412.5","426.2","410.5","0.70K","3.20%"
"Jun 27, 2014","437.2","425.7","438.7","422.6","1.46K","2.72%"
"Jun 28, 2014","437.1","437.2","442.0","432.6","0.55K","-0.03%"
"Jun 29, 2014","438.9","437.1","439.0","432.0","0.27K","0.41%"
"Jun 30, 2014","464.0","438.9","476.5","435.2","2.66K","5.71%"
"Jul 01, 2014","467.4","464.0","480.0","462.9","1.76K","0.74%"
